id,t0d0,t0d1,t1d0,t1d1,t2d0,t2d1,t3d0,t3d1,t4d0,t4d1,t5d0,t5d1,t6d0,t6d1,t7d0,t7d1,t8d0,t8d1,t9d0,t9d1,t10d0,t10d1,t11d0,t11d1,t12d0,t12d1,t13d0,t13d1,t14d0,t14d1,t15d0,t15d1,t16d0,t16d1,t17d0,t17d1,t18d0,t18d1
ata-68758,-6.5063443,-2.1204076,-4.9563155,-3.4998772,-4.2488275,-4.9968495,-4.3824015,-0.14938875,5.9287596,0.74084336,-5.3556643,-4.1404514,7.2199244,1.024776,-0.22955965,-6.8936553,-4.8793983,-1.3264045,5.14584,4.3174014,6.6772566,1.2067683,7.1163893,4.046564,-4.618157,-6.091767,-7.3923283,-4.576057,3.1174657,2.0714052,5.080933,2.0642989,6.0392685,2.1308093,3.9407623,-0.15413417,-2.7008567,-0.08434453
ata-68773,-6.6337876,0.20208818,-2.7438056,-2.2733326,-2.8008435,-6.8322883,-2.05604,-0.13203181,3.98158,-0.1996745,-3.2413957,-4.8039284,5.411853,0.35017434,0.60414153,-4.783747,-4.905042,0.8653567,3.742001,2.4908566,6.6569695,-0.89699227,7.9045844,2.1356764,-3.863586,-4.3349333,-8.748726,-2.9794986,3.8677018,0.14019015,5.7470374,0.48891324,6.048277,0.19037086,2.6528888,-1.4399021,-3.2822895,-1.5102398
ata-68784,-5.6241484,-0.014835643,-3.127794,-3.364695,-2.5498228,-5.6826143,-2.8803713,0.61500525,4.5745177,0.27697572,-4.2430143,-4.6136484,6.324104,0.4278122,0.27433294,-5.7806716,-4.864327,-0.21334626,4.398435,3.3241189,6.487351,-0.14151989,7.4983172,2.7225568,-3.5808249,-5.2416754,-8.128383,-3.3033328,3.169072,0.34407854,4.775421,0.1758153,5.082655,0.342455,1.8503407,-0.61372006,-2.5372765,-1.3857337
ata-68807,-6.877033,-3.4576683,-6.518768,-4.2469144,-5.546025,-4.4145947,-6.0709147,-0.97885686,7.443502,1.6959509,-7.575975,-3.8268826,9.080966,1.9299684,-2.1560376,-8.190779,-4.6340585,-3.3465314,5.971316,6.272452,7.243867,3.084785,6.780138,6.371308,-5.606806,-7.381412,-6.8939095,-6.2146635,2.7209077,3.679235,4.650211,3.6094663,6.5525975,3.3665397,4.9906454,0.68383,-2.89713,1.7721612
ata-68893,-6.9288135,-0.07094852,-3.1446865,-2.0541706,-3.3096137,-6.6839848,-2.2206175,-0.31527832,4.362161,-0.28822196,-3.280051,-4.2545185,5.6214705,-0.18608399,1.1067795,-5.2580614,-4.184216,0.36555505,4.6438518,2.2371297,5.947945,-0.69838893,7.3157396,2.3474438,-3.5674353,-4.8369827,-8.028449,-2.7287276,3.315831,0.19592929,5.472417,0.34457752,6.0993133,0.38431722,2.7324393,-1.2680147,-3.0106494,-1.5811923
ata-68895,-6.2519155,-0.7592393,-3.685431,-3.02224,-3.5993025,-5.6622047,-3.2162802,-0.01841901,5.4058485,0.19014606,-4.653309,-3.7866647,6.767394,-0.14155525,0.4484852,-6.130389,-4.352291,-0.7465768,4.995608,3.1950681,6.0944967,0.57743514,6.9214506,3.3996465,-3.552892,-5.818725,-7.125817,-3.6658862,2.753014,2.1641054,4.758513,1.707193,5.5803537,2.059109,3.3913841,0.24291135,-2.3037212,-0.12930654
ata-68901,-5.906708,-1.214638,-3.8844848,-3.6293018,-3.1113517,-5.2646284,-3.482434,0.4235727,5.505634,-0.3274335,-4.2963433,-3.4626546,6.944242,-0.37115875,0.91428965,-6.3761463,-3.906975,-0.4289179,5.279208,2.9335186,5.7381825,0.4044924,6.4683867,2.8307045,-3.1203034,-5.7273774,-7.097856,-3.0019245,2.3749573,0.739129,4.07855,0.83766645,4.7395196,1.2992436,2.4173276,0.2313822,-1.6100157,-0.8235729
ata-68920,-5.199739,-0.44616368,-2.762798,-3.7797463,-2.1936293,-5.1968007,-3.1526551,0.9888953,5.061929,-0.7511389,-3.7716527,-3.821024,6.640661,-0.4300292,1.0246196,-5.8796005,-4.2542157,0.07973815,4.4970546,2.547495,5.780788,-0.061217207,6.5993247,2.3760455,-2.6666808,-4.9758387,-7.936004,-2.8904238,2.5553133,-0.13601276,4.2407274,0.14892712,4.7358675,0.2056221,1.6152142,-0.34081072,-1.8912022,-1.7763084
ata-68929,-6.351101,-1.1426312,-3.844117,-3.0317135,-3.7519143,-5.781832,-3.3321838,-0.4450294,5.4183593,0.22729915,-4.555041,-4.090555,6.8323965,0.2072586,0.12432008,-6.1151433,-4.506766,-0.6333362,4.8915176,3.5218809,6.3450947,0.59066826,7.045631,3.3681061,-3.8779743,-5.6939707,-7.3726745,-3.63812,2.8577507,1.3613994,4.8165927,1.4707543,5.8991838,1.6439492,3.3737137,-0.20257744,-2.6790915,-0.10063765
ata-68930,-6.638135,0.80650896,-2.1290646,-2.1793067,-2.4424803,-7.166063,-1.4958383,0.18823656,3.5390253,-0.47607756,-2.8159404,-4.9330416,4.9129014,0.18723269,0.97103137,-4.53003,-4.828746,1.198901,3.6549115,2.003085,6.5251555,-1.3460355,7.933515,1.6154181,-3.6592445,-3.899992,-8.8506155,-2.543032,3.91387,-0.40928784,5.9150944,-0.252301,5.985545,-0.43808484,2.0349696,-1.7190427,-3.2845948,-2.1934817
ata-68953,-6.884017,-0.29299685,-3.2412996,-2.1870158,-3.321935,-6.573333,-2.3504808,-0.3345969,4.449966,-0.32246897,-3.4248385,-4.289641,5.717557,-0.1688799,0.98675156,-5.3930397,-4.24965,0.25430247,4.7059007,2.3397279,6.0570865,-0.5419779,7.2023506,2.5351639,-3.698326,-5.033806,-7.819323,-3.0365438,3.1704125,0.34751368,5.378802,0.46211013,5.8706813,0.5968494,2.7776148,-1.0946872,-3.0845957,-1.4025863
ata-69138,-6.3335834,-0.4439036,-3.153135,-2.7743063,-3.1893463,-5.940545,-2.8266885,-0.06691538,4.880202,0.18566358,-4.2539964,-4.57652,6.1964207,0.6020244,0.12511846,-5.3926177,-5.2153106,-0.18683359,4.026718,3.2603858,6.792751,0.068853736,7.6744847,3.045835,-4.0879755,-5.051191,-7.974067,-3.5613327,3.4292393,1.0124793,5.3078403,1.0322715,5.822568,1.1814357,3.178324,-0.7117381,-2.8612063,-0.73072386
